# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000
dataformat ascii

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000


## End Configuration ##
#: Mon Apr  4 12:22:46 2022
1.010479e+00	6.840334e+00
-8.971765e-01	-2.088174e+00
-1.059103e+00	-5.986451e+00
-1.059166e+00	-7.485180e+00
-1.059103e+00	-8.026871e+00
-1.059103e+00	-8.163005e+00
-1.059135e+00	-8.154476e+00
-1.059135e+00	-7.995286e+00
-1.059103e+00	-7.805457e+00
-1.059166e+00	-7.742286e+00
-1.059135e+00	-7.572041e+00
-1.059166e+00	-7.404953e+00
-1.059135e+00	-7.259976e+00
-1.059135e+00	-7.068884e+00
-1.059166e+00	-6.858209e+00
-1.059166e+00	-6.737237e+00
-1.059166e+00	-6.588470e+00
-1.059166e+00	-6.444124e+00
-1.059135e+00	-6.252716e+00
-1.059103e+00	-6.034776e+00
-1.059135e+00	-5.900222e+00
-1.059135e+00	-5.743875e+00
-1.059166e+00	-5.574576e+00
-1.059103e+00	-5.386643e+00
-1.059166e+00	-5.237559e+00
-1.059103e+00	-5.063208e+00
-1.059166e+00	-4.903385e+00
-1.059166e+00	-4.723980e+00
-1.059166e+00	-4.526571e+00
-1.059103e+00	-4.376540e+00
-1.059103e+00	-4.246724e+00
-1.059103e+00	-4.079953e+00
-1.059135e+00	-3.854748e+00
-1.059135e+00	-3.675343e+00
-1.055566e+00	-3.478250e+00
-1.034532e+00	-3.323165e+00
-1.010907e+00	-3.209141e+00
-1.019435e+00	-2.980779e+00
-9.990953e-01	-2.824431e+00
-9.771134e-01	-2.644078e+00
-9.204848e-01	-2.422348e+00
-9.063040e-01	-2.288110e+00
-9.074726e-01	-2.126076e+00
-8.299676e-01	-1.899924e+00
-8.396636e-01	-1.696514e+00
-8.173659e-01	-1.531638e+00
-7.686647e-01	-1.330755e+00
-7.365130e-01	-1.163983e+00
-7.022138e-01	-1.018374e+00
-6.955181e-01	-8.064359e-01
-6.521860e-01	-6.172391e-01
-6.231295e-01	-4.122494e-01
-6.087276e-01	-2.173672e-01
-5.740494e-01	-2.911784e-02
-4.867851e-01	1.449367e-01
-4.727938e-01	3.366850e-01
-4.071008e-01	4.725199e-01
-2.634607e-01	6.794313e-01
-1.357384e-01	8.010509e-01
1.990272e-02	1.027232e+00
1.514111e-01	1.187391e+00
3.093222e-01	1.362713e+00
4.568428e-01	1.570256e+00
5.839612e-01	1.789171e+00
6.417882e-01	1.978076e+00
7.370402e-01	2.198887e+00
7.957516e-01	2.392531e+00
8.295761e-01	2.632295e+00
8.395561e-01	2.826571e+00
8.567684e-01	2.999681e+00
8.924879e-01	3.211015e+00
9.269441e-01	3.362013e+00
9.777915e-01	3.570820e+00
9.829078e-01	3.711709e+00
1.010479e+00	3.946419e+00
9.973093e-01	4.058562e+00
1.010479e+00	4.283479e+00
1.010479e+00	4.471121e+00
1.010479e+00	4.662238e+00
1.010479e+00	4.803442e+00
1.010479e+00	5.034678e+00
1.010479e+00	5.182833e+00
1.010479e+00	5.389428e+00
1.010479e+00	5.563486e+00
1.010479e+00	5.738492e+00
1.010479e+00	5.877486e+00
1.010479e+00	6.098928e+00
1.010479e+00	6.255929e+00
1.010479e+00	6.425880e+00
1.010479e+00	6.587934e+00
1.010479e+00	6.779051e+00
1.010479e+00	6.990069e+00
1.010479e+00	7.154335e+00
1.010479e+00	7.258264e+00
1.010479e+00	7.467071e+00
1.010479e+00	7.610487e+00
1.010479e+00	7.817398e+00
1.010479e+00	7.975662e+00
1.010479e+00	8.153827e+00
1.010479e+00	8.304193e+00
1.010479e+00	8.463088e+00
1.010479e+00	8.457086e+00
1.010479e+00	8.486465e+00
1.010479e+00	8.356631e+00
1.010479e+00	8.182573e+00
1.010479e+00	8.028732e+00
1.010479e+00	7.863203e+00
1.010479e+00	7.670507e+00
1.010479e+00	7.529618e+00
1.010479e+00	7.394099e+00
1.010479e+00	7.235835e+00
1.010479e+00	7.031135e+00
