# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000
dataformat ascii

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000


## End Configuration ##
#: Mon Apr  4 12:18:55 2022
2.532499e-03	-9.333878e+00
8.586416e-04	-9.341774e+00
1.257565e-02	-9.214484e+00
8.280464e-03	-9.054346e+00
8.586416e-04	-8.902736e+00
1.649184e-02	-8.731227e+00
1.269210e-03	-8.567930e+00
9.101601e-03	-8.398000e+00
9.764828e-03	-8.211646e+00
3.322055e-03	-8.038558e+00
1.742944e-03	-7.870523e+00
6.038126e-03	-7.687959e+00
1.332375e-03	-7.514239e+00
6.796099e-03	-7.338624e+00
6.732935e-03	-7.156376e+00
9.449006e-03	-6.997501e+00
1.077546e-02	-6.811147e+00
4.585344e-03	-6.632373e+00
-4.289386e-03	-6.462443e+00
5.090659e-03	-6.297252e+00
1.074388e-02	-6.107423e+00
-3.099096e-04	-5.931808e+00
5.311735e-03	-5.752402e+00
8.406793e-03	-5.569207e+00
3.795788e-03	-5.400540e+00
3.448384e-03	-5.219556e+00
5.690722e-03	-5.042677e+00
1.806108e-03	-4.860113e+00
6.606606e-03	-4.679444e+00
1.964019e-03	-4.494038e+00
9.449006e-03	-4.315264e+00
1.475482e-02	-4.121961e+00
-2.467433e-04	-3.952031e+00
5.744016e-04	-3.771363e+00
1.424950e-02	-3.579955e+00
1.964019e-03	-3.392969e+00
-3.973554e-03	-3.221460e+00
9.827993e-03	-3.032263e+00
-1.099488e-03	-2.844961e+00
1.837690e-03	-2.662713e+00
8.059388e-03	-2.473832e+00
2.585794e-04	-2.291584e+00
4.616926e-03	-2.103019e+00
7.901477e-03	-1.913506e+00
-3.278725e-03	-1.735364e+00
6.606606e-03	-1.541114e+00
1.427122e-03	-1.347179e+00
2.564082e-03	-1.172511e+00
9.354259e-03	-9.706803e-01
-8.882760e-05	-7.720078e-01
-5.805377e-03	-5.926024e-01
7.869895e-03	-3.974043e-01
6.480277e-03	-1.977842e-01
-3.373475e-03	-1.269341e-02
5.090659e-03	1.847394e-01
-8.784062e-04	3.749083e-01
7.996224e-03	5.657090e-01
3.164144e-03	7.615640e-01
-2.615479e-03	9.457309e-01
1.585033e-03	1.135584e+00
6.701353e-03	1.335546e+00
-2.110149e-03	1.519081e+00
2.595664e-03	1.706406e+00
7.238250e-03	1.902577e+00
-7.005536e-03	2.078531e+00
9.954321e-03	2.277545e+00
6.290784e-03	2.469609e+00
-3.120810e-03	2.656935e+00
-1.762734e-03	2.840470e+00
3.006233e-03	3.026848e+00
-2.362814e-03	3.214806e+00
2.848322e-03	3.396446e+00
-2.299648e-03	3.582192e+00
2.269972e-04	3.762568e+00
5.438064e-03	3.955264e+00
-1.257404e-03	4.140063e+00
-5.521129e-03	4.311910e+00
5.027495e-03	4.501447e+00
5.438064e-03	4.689404e+00
-8.837359e-03	4.858724e+00
1.074388e-02	5.045102e+00
1.553450e-03	5.224215e+00
9.849706e-04	5.398905e+00
4.364268e-03	5.584967e+00
-2.566131e-05	5.762500e+00
-4.320969e-03	5.941613e+00
5.501228e-03	6.127991e+00
-3.120810e-03	6.302365e+00
4.164905e-04	6.482110e+00
1.269210e-03	6.662801e+00
-7.510867e-03	6.822644e+00
7.111921e-03	7.009023e+00
3.669459e-03	7.195401e+00
-9.247940e-03	7.363457e+00
-8.784062e-04	7.537831e+00
5.438064e-03	7.726737e+00
-3.152393e-03	7.897320e+00
3.858953e-03	8.081487e+00
-3.910388e-03	8.261547e+00
-3.752473e-03	8.441291e+00
1.932437e-03	8.612190e+00
-3.720889e-03	8.704748e+00
-2.331231e-03	8.694324e+00
4.048446e-03	8.583444e+00
-9.090024e-03	8.514579e+00
-5.615878e-03	8.408438e+00
3.732624e-03	8.301665e+00
-6.121208e-03	8.153194e+00
-4.005138e-03	7.980400e+00
4.806419e-03	7.815187e+00
-3.405058e-03	7.641129e+00
-5.110548e-03	7.451591e+00
3.574713e-03	7.274690e+00
